mom.id,infant.sex,inf.dob,unit,ibi.num,ibi.adj,ibi.censored,year,mom.dob,mom.age,mom.z,mom.z.2,parity,age.cat,takeover
Gelada_70,F,11/22/15,T,1240,839,0,2015,6/7/90,21.46,2.86,8.15,Multiparous,Old,1
Gelada_39,F,1/24/10,C,1254,853,0,2010,7/24/88,17.5,1.81,3.27,Multiparous,Old,1
Gelada_153,M,3/1/10,C,1289,888,1,2010,3/1/97,13,0.62,0.38,Multiparous,Old,1
Gelada_66,M,6/29/15,Z5,1325,924,0,2015,6/7/91,20.06,2.48,6.18,Multiparous,Old,0
Gelada_8,F,8/28/17,M2,1367,966,0,2017,11/4/02,14.81,1.1,1.2,Multiparous,Old,0
Gelada_17,F,1/1/14,M1,1437,1036,1,2014,6/6/93,16.57,1.56,2.44,Multiparous,Old,0
Gelada_231,F,11/21/18,J1,1450,1049,0,2018,7/1/03,15.39,1.25,1.56,Multiparous,Old,0
Gelada_116,F,5/15/17,A,1462,1061,0,2017,5/30/04,12.96,0.61,0.37,Multiparous,Old,0
Gelada_202,F,6/18/07,T,1471,1070,1,2007,4/8/84,19.19,2.26,5.09,Multiparous,Old,1
Gelada_153,M,9/26/13,C,1508,1107,1,2013,3/1/97,16.57,1.56,2.44,Multiparous,Old,1
Gelada_100,M,4/18/16,D,1569,1168,0,2016,5/1/97,18.97,2.2,4.83,Multiparous,Old,1
Gelada_40,F,1/17/17,G,1580,1179,0,2017,6/1/96,20.63,2.64,6.95,Multiparous,Old,0
Gelada_37,F,2/1/17,M,1583,1182,0,2017,8/25/97,19.44,2.32,5.39,Multiparous,Old,0
Gelada_132,M,4/10/18,V,1892,1491,0,2018,2/14/05,13.15,0.66,0.43,Multiparous,Old,0
Gelada_93,M,1/5/18,V,1987,1586,0,2018,2/1/99,18.93,2.19,4.78,Multiparous,Old,0
Gelada_148,M,7/29/09,Z,2174,1773,0,2009,6/7/88,17.14,1.71,2.93,Multiparous,Old,1
Gelada_337,F,3/1/10,K,448,47,0,2010,11/24/03,6.27,-1.16,1.35,Primiparous,Young,0
Gelada_19,F,2/8/10,A,578,177,1,2010,11/3/03,6.27,-1.16,1.35,Primiparous,Young,0
Gelada_391,F,9/27/21,V,626,225,0,2021,10/9/14,6.97,-0.98,0.95,Primiparous,Young,0
Gelada_240,M,7/15/19,G,671,270,0,2019,6/13/13,6.09,-1.21,1.46,Primiparous,Young,0
Gelada_360,F,9/30/15,A,707,306,1,2015,2/8/10,5.64,-1.33,1.76,Primiparous,Young,0
Gelada_388,F,7/27/17,A,711,310,1,2017,9/11/10,6.87,-1,1,Primiparous,Young,0
Gelada_246,F,8/14/08,B,732,331,1,2008,10/3/02,5.86,-1.27,1.61,Primiparous,Young,1
Gelada_12,M,12/13/07,C,734,333,1,2007,7/18/02,5.4,-1.39,1.93,Primiparous,Young,1
Gelada_27,M,9/21/10,M,753,352,1,2010,12/15/04,5.77,-1.29,1.67,Primiparous,Young,1
Gelada_26,M,9/9/08,T,780,379,1,2008,6/4/02,6.27,-1.16,1.35,Primiparous,Young,1
Gelada_63,F,7/10/07,R,795,394,1,2007,4/3/01,6.27,-1.16,1.35,Primiparous,Young,0
Gelada_65,F,8/5/09,T,801,400,1,2009,10/1/03,5.85,-1.27,1.62,Primiparous,Young,0
Gelada_98,M,7/19/11,T,801,400,0,2011,11/15/05,5.67,-1.32,1.74,Primiparous,Young,1
Gelada_168,F,7/2/07,Z,807,406,1,2007,3/26/01,6.27,-1.16,1.35,Primiparous,Young,0
Gelada_38,F,6/5/12,M2,811,410,1,2012,10/1/05,6.68,-1.05,1.11,Primiparous,Young,1
Gelada_122,F,5/25/07,D,816,415,1,2007,2/16/01,6.27,-1.16,1.35,Primiparous,Young,1
Gelada_78,F,6/16/18,K,835,434,1,2018,8/24/11,6.81,-1.02,1.04,Multiparous,Young,0
Gelada_205,F,6/13/13,G,837,436,1,2013,10/24/07,5.64,-1.33,1.76,Primiparous,Young,0
Gelada_222,F,4/11/09,C3,865,464,0,2009,9/19/02,6.56,-1.08,1.17,Primiparous,Young,1
Gelada_174,F,9/20/15,Z3,870,469,1,2015,10/2/09,5.97,-1.24,1.54,Primiparous,Young,0
Gelada_150,F,3/14/11,T,885,484,1,2011,8/17/05,5.57,-1.35,1.81,Primiparous,Young,1
Gelada_344,M,3/28/12,N,904,503,1,2012,6/1/05,6.82,-1.01,1.03,Primiparous,Young,0
Gelada_175,F,3/1/09,H2,912,511,1,2009,7/19/02,6.62,-1.07,1.14,Multiparous,Young,0
Gelada_450,F,7/17/10,H1,913,512,0,2010,6/26/04,6.06,-1.22,1.48,Primiparous,Young,0
Gelada_152,M,11/12/14,N,917,516,1,2014,6/15/08,6.41,-1.12,1.26,Primiparous,Young,1
Gelada_118,M,2/9/13,T,918,517,1,2013,5/15/07,5.74,-1.3,1.69,Primiparous,Young,0
Gelada_10,M,11/16/09,Z,918,517,1,2009,6/15/04,5.42,-1.38,1.92,Primiparous,Young,0
Gelada_7,F,2/16/08,A,922,521,1,2008,10/12/01,6.35,-1.14,1.3,Primiparous,Young,1
Gelada_62,F,2/20/09,C3,927,526,1,2009,9/4/02,6.46,-1.11,1.23,Primiparous,Young,1
Gelada_138,M,12/16/11,B1,930,529,1,2011,11/12/06,5.09,-1.47,2.17,Primiparous,Young,1
Gelada_329,F,10/14/20,V,974,573,0,2020,10/3/14,6.03,-1.22,1.5,Primiparous,Young,0
Gelada_265,M,8/31/19,J1,977,576,1,2019,3/28/13,6.43,-1.12,1.25,Primiparous,Young,0
Gelada_127,F,10/18/09,D,979,578,0,2009,11/8/03,5.94,-1.25,1.56,Primiparous,Young,0
Gelada_29,F,4/1/13,D,982,581,1,2013,5/25/07,5.85,-1.27,1.62,Primiparous,Young,1
Gelada_64,M,2/8/18,M2,996,595,0,2018,6/5/12,5.68,-1.32,1.73,Multiparous,Young,0
Gelada_313,M,1/17/17,B3,1002,601,0,2017,7/16/10,6.51,-1.1,1.2,Primiparous,Young,0
Gelada_231,M,7/19/09,J,1011,610,1,2009,7/1/03,6.05,-1.22,1.48,Multiparous,Young,1
Gelada_219,M,10/10/11,N,1023,622,1,2011,9/1/05,6.11,-1.2,1.45,Primiparous,Young,0
Gelada_132,F,11/8/11,V,1028,627,1,2011,2/14/05,6.73,-1.04,1.08,Primiparous,Young,0
Gelada_2,M,11/24/07,G,1033,632,1,2007,7/23/02,5.34,-1.41,1.98,Primiparous,Young,1
Gelada_137,M,12/12/08,M,1041,640,1,2008,10/24/02,6.14,-1.19,1.43,Primiparous,Young,1
Gelada_363,M,1/8/14,B1,1058,657,1,2014,12/31/08,5.02,-1.49,2.22,Primiparous,Young,1
Gelada_69,F,7/13/14,B1,1067,666,1,2014,10/30/07,6.7,-1.05,1.1,Primiparous,Young,1
Gelada_116,F,9/5/10,A,1104,703,1,2010,5/30/04,6.27,-1.16,1.35,Primiparous,Young,1
Gelada_120,M,1/15/10,C1,1104,703,1,2010,2/15/03,6.92,-0.99,0.98,Primiparous,Young,1
Gelada_71,M,7/1/11,T,1112,711,1,2011,4/18/06,5.2,-1.44,2.08,Primiparous,Young,1
Gelada_42,F,10/24/07,G,1114,713,1,2007,7/18/01,6.27,-1.16,1.35,Primiparous,Young,1
Gelada_249,F,6/15/14,G,1116,715,1,2014,10/24/07,6.64,-1.06,1.13,Primiparous,Young,1
Gelada_84,M,8/10/08,Z,1118,717,1,2008,11/6/02,5.76,-1.29,1.68,Primiparous,Young,0
Gelada_233,M,10/21/10,M,1131,730,1,2010,12/15/04,5.85,-1.27,1.62,Primiparous,Young,1
Gelada_76,M,7/15/13,V,1133,732,1,2013,3/11/07,6.35,-1.14,1.3,Primiparous,Young,0
Gelada_52,M,9/23/10,M,1158,757,1,2010,2/24/04,6.58,-1.08,1.16,Primiparous,Young,1
Gelada_250,M,11/4/08,R,1168,767,1,2008,7/30/02,6.27,-1.16,1.35,Primiparous,Young,1
Gelada_94,F,9/10/09,L,1172,771,1,2009,5/7/03,6.35,-1.14,1.3,Primiparous,Young,1
Gelada_20,F,2/25/16,M1,1176,775,1,2016,10/18/10,5.36,-1.4,1.96,Primiparous,Young,0
Gelada_211,F,5/25/18,V,1189,788,1,2018,1/29/12,6.32,-1.15,1.32,Multiparous,Young,0
Gelada_165,M,7/9/10,C1,1193,792,1,2010,2/17/04,6.39,-1.13,1.27,Primiparous,Young,1
Gelada_75,M,1/16/08,L,1218,817,1,2008,10/5/02,5.28,-1.42,2.02,Primiparous,Young,0
Gelada_88,M,2/26/16,D,1233,832,1,2016,9/3/09,6.48,-1.1,1.22,Primiparous,Young,1
Gelada_23,F,2/25/14,M1,1241,840,1,2014,7/12/07,6.63,-1.06,1.13,Primiparous,Young,0
Gelada_170,M,11/3/13,A,1243,842,1,2013,2/16/08,5.71,-1.31,1.71,Primiparous,Young,1
Gelada_279,F,9/12/19,D1,1253,852,1,2019,4/1/13,6.45,-1.11,1.24,Primiparous,Young,0
Gelada_130,F,8/16/14,M1,1263,862,1,2014,2/1/09,5.54,-1.35,1.83,Primiparous,Young,0
Gelada_147,M,3/28/16,D,1273,872,1,2016,10/18/09,6.44,-1.12,1.24,Primiparous,Young,1
Gelada_67,M,11/17/17,Z5,1276,875,0,2017,6/7/12,5.45,-1.38,1.9,Primiparous,Young,0
Gelada_115,M,7/27/12,Z,1278,877,1,2012,11/1/05,6.74,-1.04,1.07,Primiparous,Young,1
Gelada_117,M,2/10/09,H1,1278,877,1,2009,9/5/03,5.43,-1.38,1.91,Primiparous,Young,0
Gelada_105,M,7/12/15,T,1304,903,1,2015,8/5/09,5.93,-1.25,1.56,Primiparous,Young,1
Gelada_145,F,9/25/10,B1,1322,921,1,2010,12/1/05,4.82,-1.54,2.38,Primiparous,Young,1
Gelada_178,M,4/17/19,K,1411,1010,1,2019,11/10/12,6.43,-1.12,1.25,Primiparous,Young,0
Gelada_141,M,7/10/16,C5,1482,1081,1,2016,1/24/10,6.46,-1.11,1.23,Primiparous,Young,1
Gelada_144,M,5/4/09,D,1496,1095,1,2009,1/27/03,6.27,-1.16,1.35,Primiparous,Young,0
Gelada_135,M,3/22/17,Z5,1516,1115,0,2017,10/16/10,6.43,-1.12,1.25,Primiparous,Young,0
